Accession,Function_Annotation,log10p_value,Z_score
Q60813,Cell movement of sperm,10.73,2.523
Q8C0T9,Cell movement of sperm,10.73,2.523
Q60662,Cell movement of sperm,10.73,2.523
Q75UR0,Cell movement of sperm,10.73,2.523
Q9WV27,Cell movement of sperm,10.73,2.523
P00920,Cell movement of sperm,10.73,2.523
Q91ZR5,Cell movement of sperm,10.73,2.523
A2ARP9,Cell movement of sperm,10.73,2.523
Q80W99,Cell movement of sperm,10.73,2.523
Q8BVN3,Cell movement of sperm,10.73,2.523
E9Q9F6,Cell movement of sperm,10.73,2.523
P58019,Cell movement of sperm,10.73,2.523
Q0VFX2,Cell movement of sperm,10.73,2.523
E9Q5M6,Cell movement of sperm,10.73,2.523
Q3V0B4,Cell movement of sperm,10.73,2.523
Q9D5U8,Cell movement of sperm,10.73,2.523
O54833,Cell movement of sperm,10.73,2.523
A2A432,Cell movement of sperm,10.73,2.523
E9Q8T7,Cell movement of sperm,10.73,2.523
P63037,Cell movement of sperm,10.73,2.523
Q9DAM2,Cell movement of sperm,10.73,2.523
Q8C042,Cell movement of sperm,10.73,2.523
P30416,Cell movement of sperm,10.73,2.523
Q07133,Cell movement of sperm,10.73,2.523
P54310,Cell movement of sperm,10.73,2.523
Q9CWP4,Cell movement of sperm,10.73,2.523
Q715T0,Cell movement of sperm,10.73,2.523
P09041,Cell movement of sperm,10.73,2.523
Q60963,Cell movement of sperm,10.73,2.523
P05132,Cell movement of sperm,10.73,2.523
P60154,Cell movement of sperm,10.73,2.523
Q9EQ00,Cell movement of sperm,10.73,2.523
Q8C0X2,Cell movement of sperm,10.73,2.523
Q6UJY2,Cell movement of sperm,10.73,2.523
P15265,Cell movement of sperm,10.73,2.523
Q64442,Cell movement of sperm,10.73,2.523
Q8K450,Cell movement of sperm,10.73,2.523
Q9JLI7,Cell movement of sperm,10.73,2.523
Q9WTK7,Cell movement of sperm,10.73,2.523
Q922G7,Cell movement of sperm,10.73,2.523
Q9D411,Cell movement of sperm,10.73,2.523
O88623,Cell movement of sperm,10.73,2.523
Q5H8C4,Cell movement of sperm,10.73,2.523
Q60813,Cell movement of germ cells,9.58,2.214
Q8C0T9,Cell movement of germ cells,9.58,2.214
Q60662,Cell movement of germ cells,9.58,2.214
Q75UR0,Cell movement of germ cells,9.58,2.214
Q9WV27,Cell movement of germ cells,9.58,2.214
P00920,Cell movement of germ cells,9.58,2.214
Q91ZR5,Cell movement of germ cells,9.58,2.214
A2ARP9,Cell movement of germ cells,9.58,2.214
Q80W99,Cell movement of germ cells,9.58,2.214
Q8BVN3,Cell movement of germ cells,9.58,2.214
E9Q9F6,Cell movement of germ cells,9.58,2.214
P58019,Cell movement of germ cells,9.58,2.214
Q0VFX2,Cell movement of germ cells,9.58,2.214
E9Q5M6,Cell movement of germ cells,9.58,2.214
Q3V0B4,Cell movement of germ cells,9.58,2.214
Q9D5U8,Cell movement of germ cells,9.58,2.214
O54833,Cell movement of germ cells,9.58,2.214
A2A432,Cell movement of germ cells,9.58,2.214
E9Q8T7,Cell movement of germ cells,9.58,2.214
P63037,Cell movement of germ cells,9.58,2.214
Q9DAM2,Cell movement of germ cells,9.58,2.214
Q8C042,Cell movement of germ cells,9.58,2.214
P30416,Cell movement of germ cells,9.58,2.214
Q07133,Cell movement of germ cells,9.58,2.214
P09055,Cell movement of germ cells,9.58,2.214
P54310,Cell movement of germ cells,9.58,2.214
Q9CWP4,Cell movement of germ cells,9.58,2.214
Q715T0,Cell movement of germ cells,9.58,2.214
P09041,Cell movement of germ cells,9.58,2.214
Q60963,Cell movement of germ cells,9.58,2.214
P05132,Cell movement of germ cells,9.58,2.214
P60154,Cell movement of germ cells,9.58,2.214
Q9EQ00,Cell movement of germ cells,9.58,2.214
Q8C0X2,Cell movement of germ cells,9.58,2.214
Q6UJY2,Cell movement of germ cells,9.58,2.214
P15265,Cell movement of germ cells,9.58,2.214
Q64442,Cell movement of germ cells,9.58,2.214
Q8K450,Cell movement of germ cells,9.58,2.214
Q9JLI7,Cell movement of germ cells,9.58,2.214
Q9WTK7,Cell movement of germ cells,9.58,2.214
Q922G7,Cell movement of germ cells,9.58,2.214
Q9D411,Cell movement of germ cells,9.58,2.214
O88623,Cell movement of germ cells,9.58,2.214
Q5H8C4,Cell movement of germ cells,9.58,2.214
P09470,Function of sperm,8.53,
Q60662,Function of sperm,8.53,
O54794,Function of sperm,8.53,
Q9WV27,Function of sperm,8.53,
Q91ZR5,Function of sperm,8.53,
A2ARP9,Function of sperm,8.53,
Q80W99,Function of sperm,8.53,
Q8BVN3,Function of sperm,8.53,
P26361,Function of sperm,8.53,
Q03401,Function of sperm,8.53,
Q9CWP4,Function of sperm,8.53,
Q715T0,Function of sperm,8.53,
Q9DAN1,Function of sperm,8.53,
Q3UUQ7,Function of sperm,8.53,
P63087-2,Function of sperm,8.53,
Q9JHJ7,Function of sperm,8.53,
Q9DAA4,Function of sperm,8.53,
Q8VIG3,Function of sperm,8.53,
P28661,Function of sperm,8.53,
P48794,Function of sperm,8.53,
Q9D5A0,Function of sperm,8.53,
Q93092,Function of sperm,8.53,
P23578,Asthenozoospermia,8.09,-2.646
Q8C0T9,Asthenozoospermia,8.09,-2.646
Q9WV27,Asthenozoospermia,8.09,-2.646
Q8R5M8,Asthenozoospermia,8.09,-2.646
Q91ZR5,Asthenozoospermia,8.09,-2.646
A2ARP9,Asthenozoospermia,8.09,-2.646
Q80W99,Asthenozoospermia,8.09,-2.646
Q8BVN3,Asthenozoospermia,8.09,-2.646
P58019,Asthenozoospermia,8.09,-2.646
Q04735,Asthenozoospermia,8.09,-2.646
P26361,Asthenozoospermia,8.09,-2.646
Q3TCH7,Asthenozoospermia,8.09,-2.646
E9Q8T7,Asthenozoospermia,8.09,-2.646
P63037,Asthenozoospermia,8.09,-2.646
Q9WTX7,Asthenozoospermia,8.09,-2.646
P30416,Asthenozoospermia,8.09,-2.646
Q07133,Asthenozoospermia,8.09,-2.646
P43275,Asthenozoospermia,8.09,-2.646
Q61316,Asthenozoospermia,8.09,-2.646
P48722,Asthenozoospermia,8.09,-2.646
P54310,Asthenozoospermia,8.09,-2.646
Q715T0,Asthenozoospermia,8.09,-2.646
Q61999,Asthenozoospermia,8.09,-2.646
Q5QNQ6,Asthenozoospermia,8.09,-2.646
P09041,Asthenozoospermia,8.09,-2.646
P05132,Asthenozoospermia,8.09,-2.646
Q9JHJ7,Asthenozoospermia,8.09,-2.646
Q5SSW2,Asthenozoospermia,8.09,-2.646
P28661,Asthenozoospermia,8.09,-2.646
Q6UJY2,Asthenozoospermia,8.09,-2.646
P15265,Asthenozoospermia,8.09,-2.646
Q8K450,Asthenozoospermia,8.09,-2.646
Q924X7,Asthenozoospermia,8.09,-2.646
Q93092,Asthenozoospermia,8.09,-2.646
P11985,Asthenozoospermia,8.09,-2.646
Q5H8C4,Asthenozoospermia,8.09,-2.646
P58742,Fertilization,7.66,1.976
P09470,Fertilization,7.66,1.976
P23578,Fertilization,7.66,1.976
Q3V140,Fertilization,7.66,1.976
Q60813,Fertilization,7.66,1.976
Q8C0T9,Fertilization,7.66,1.976
Q99PT1,Fertilization,7.66,1.976
P50428,Fertilization,7.66,1.976
Q9WV27,Fertilization,7.66,1.976
Q6UQ17,Fertilization,7.66,1.976
Q91ZR5,Fertilization,7.66,1.976
A2ARP9,Fertilization,7.66,1.976
Q3TVA9,Fertilization,7.66,1.976
P40240,Fertilization,7.66,1.976
P26361,Fertilization,7.66,1.976
P52194,Fertilization,7.66,1.976
Q9QZL9,Fertilization,7.66,1.976
Q9D9V2,Fertilization,7.66,1.976
P30416,Fertilization,7.66,1.976
Q07133,Fertilization,7.66,1.976
P43275,Fertilization,7.66,1.976
P20060,Fertilization,7.66,1.976
Q9D5V2,Fertilization,7.66,1.976
Q9D925,Fertilization,7.66,1.976
Q9JLI3,Fertilization,7.66,1.976
Q6PFD9,Fertilization,7.66,1.976
Q5QNQ6,Fertilization,7.66,1.976
P29121,Fertilization,7.66,1.976
Q60963,Fertilization,7.66,1.976
P05132,Fertilization,7.66,1.976
Q9JHJ7,Fertilization,7.66,1.976
Q9DAA4,Fertilization,7.66,1.976
Q05769,Fertilization,7.66,1.976
Q3V0F0,Fertilization,7.66,1.976
Q9D5A9,Fertilization,7.66,1.976
Q6NZC7,Fertilization,7.66,1.976
P10852,Fertilization,7.66,1.976
P15265,Fertilization,7.66,1.976
Q9D0T1,Fertilization,7.66,1.976
Q812F3,Fertilization,7.66,1.976
P48794,Fertilization,7.66,1.976
Q9D5A0,Fertilization,7.66,1.976
Q93092,Fertilization,7.66,1.976
Q9D411,Fertilization,7.66,1.976
O88623,Fertilization,7.66,1.976
Q8C0T9,Capacitation of sperm,6.87,2.828
Q9WV27,Capacitation of sperm,6.87,2.828
A2ARP9,Capacitation of sperm,6.87,2.828
Q80W99,Capacitation of sperm,6.87,2.828
Q8BVN3,Capacitation of sperm,6.87,2.828
A2RTF1,Capacitation of sperm,6.87,2.828
E9Q9F6,Capacitation of sperm,6.87,2.828
P26361,Capacitation of sperm,6.87,2.828
Q9DAM2,Capacitation of sperm,6.87,2.828
P29121,Capacitation of sperm,6.87,2.828
P70296,Capacitation of sperm,6.87,2.828
P05132,Capacitation of sperm,6.87,2.828
Q9D5A9,Capacitation of sperm,6.87,2.828
P60154,Capacitation of sperm,6.87,2.828
Q9EQ00,Capacitation of sperm,6.87,2.828
P28661,Capacitation of sperm,6.87,2.828
P23578,Morphology of sperm,6.59,
Q60662,Morphology of sperm,6.59,
Q8R5M8,Morphology of sperm,6.59,
P08414,Morphology of sperm,6.59,
P58019,Morphology of sperm,6.59,
Q04735,Morphology of sperm,6.59,
P41209,Morphology of sperm,6.59,
Q0VFX2,Morphology of sperm,6.59,
O54833,Morphology of sperm,6.59,
Q3TCH7,Morphology of sperm,6.59,
Q9WTX7,Morphology of sperm,6.59,
Q07133,Morphology of sperm,6.59,
P54310,Morphology of sperm,6.59,
Q91VH6,Morphology of sperm,6.59,
Q80WJ7,Morphology of sperm,6.59,
Q5QNQ6,Morphology of sperm,6.59,
P63087-2,Morphology of sperm,6.59,
Q9JHJ7,Morphology of sperm,6.59,
Q3V0F0,Morphology of sperm,6.59,
P28661,Morphology of sperm,6.59,
P15265,Morphology of sperm,6.59,
Q9JLI7,Morphology of sperm,6.59,
Q9D9W0,Morphology of sperm,6.59,
Q9WTK7,Morphology of sperm,6.59,
P11985,Morphology of sperm,6.59,
P09470,Function of gonad,6.24,
Q60662,Function of gonad,6.24,
O54794,Function of gonad,6.24,
Q9WV27,Function of gonad,6.24,
Q91ZR5,Function of gonad,6.24,
A2ARP9,Function of gonad,6.24,
Q80W99,Function of gonad,6.24,
Q8BVN3,Function of gonad,6.24,
P26361,Function of gonad,6.24,
Q03401,Function of gonad,6.24,
Q02248,Function of gonad,6.24,
Q9Z0R9,Function of gonad,6.24,
Q9CWP4,Function of gonad,6.24,
Q715T0,Function of gonad,6.24,
Q9DAN1,Function of gonad,6.24,
Q3UUQ7,Function of gonad,6.24,
P63087-2,Function of gonad,6.24,
Q9JHJ7,Function of gonad,6.24,
Q9DAA4,Function of gonad,6.24,
Q8VIG3,Function of gonad,6.24,
P28661,Function of gonad,6.24,
P48794,Function of gonad,6.24,
Q9D5A0,Function of gonad,6.24,
Q93092,Function of gonad,6.24,
Q9R0H0,Morphology of male germ cells,6.2,
P23578,Morphology of male germ cells,6.2,
Q60662,Morphology of male germ cells,6.2,
Q8R5M8,Morphology of male germ cells,6.2,
P08414,Morphology of male germ cells,6.2,
P58019,Morphology of male germ cells,6.2,
Q04735,Morphology of male germ cells,6.2,
P41209,Morphology of male germ cells,6.2,
Q0VFX2,Morphology of male germ cells,6.2,
O54833,Morphology of male germ cells,6.2,
Q3TCH7,Morphology of male germ cells,6.2,
P63037,Morphology of male germ cells,6.2,
Q9WVK4,Morphology of male germ cells,6.2,
Q9Z0R9,Morphology of male germ cells,6.2,
Q9WTX7,Morphology of male germ cells,6.2,
Q07133,Morphology of male germ cells,6.2,
Q9Z0R0,Morphology of male germ cells,6.2,
P51660,Morphology of male germ cells,6.2,
Q61316,Morphology of male germ cells,6.2,
Q99P31,Morphology of male germ cells,6.2,
P42859,Morphology of male germ cells,6.2,
Q6PD10,Morphology of male germ cells,6.2,
P54310,Morphology of male germ cells,6.2,
Q91VH6,Morphology of male germ cells,6.2,
Q61884,Morphology of male germ cells,6.2,
Q80WJ7,Morphology of male germ cells,6.2,
Q99MH5,Morphology of male germ cells,6.2,
Q5QNQ6,Morphology of male germ cells,6.2,
O35386,Morphology of male germ cells,6.2,
Q9JMB7,Morphology of male germ cells,6.2,
P63087-2,Morphology of male germ cells,6.2,
Q9JHJ7,Morphology of male germ cells,6.2,
Q5SSW2,Morphology of male germ cells,6.2,
Q3V0F0,Morphology of male germ cells,6.2,
Q8VIG3,Morphology of male germ cells,6.2,
Q6NZC7,Morphology of male germ cells,6.2,
P28661,Morphology of male germ cells,6.2,
P15265,Morphology of male germ cells,6.2,
Q9JLI7,Morphology of male germ cells,6.2,
Q9D9W0,Morphology of male germ cells,6.2,
Q9WTK7,Morphology of male germ cells,6.2,
Q9D666,Morphology of male germ cells,6.2,
Q8R1G1,Morphology of male germ cells,6.2,
P11985,Morphology of male germ cells,6.2,
O88623,Morphology of male germ cells,6.2,
P58742,Binding of germ cells,6.16,-0.529
P09470,Binding of germ cells,6.16,-0.529
P23578,Binding of germ cells,6.16,-0.529
Q3V140,Binding of germ cells,6.16,-0.529
Q60813,Binding of germ cells,6.16,-0.529
P50428,Binding of germ cells,6.16,-0.529
Q9WV27,Binding of germ cells,6.16,-0.529
Q6UQ17,Binding of germ cells,6.16,-0.529
Q91ZR5,Binding of germ cells,6.16,-0.529
A2ARP9,Binding of germ cells,6.16,-0.529
P80315,Binding of germ cells,6.16,-0.529
P40240,Binding of germ cells,6.16,-0.529
P52194,Binding of germ cells,6.16,-0.529
Q9DAG6,Binding of germ cells,6.16,-0.529
Q07133,Binding of germ cells,6.16,-0.529
P09055,Binding of germ cells,6.16,-0.529
Q9D5V2,Binding of germ cells,6.16,-0.529
Q9CWP4,Binding of germ cells,6.16,-0.529
Q9D925,Binding of germ cells,6.16,-0.529
P27046,Binding of germ cells,6.16,-0.529
P21956,Binding of germ cells,6.16,-0.529
Q9JLI3,Binding of germ cells,6.16,-0.529
P29121,Binding of germ cells,6.16,-0.529
Q60963,Binding of germ cells,6.16,-0.529
Q9DAA4,Binding of germ cells,6.16,-0.529
Q3V0F0,Binding of germ cells,6.16,-0.529
Q9D5A9,Binding of germ cells,6.16,-0.529
P10852,Binding of germ cells,6.16,-0.529
P15265,Binding of germ cells,6.16,-0.529
Q9D0T1,Binding of germ cells,6.16,-0.529
Q9D5A0,Binding of germ cells,6.16,-0.529
Q9D411,Binding of germ cells,6.16,-0.529
P09470,Binding of male germ cells,6.1,-0.943
P23578,Binding of male germ cells,6.1,-0.943
Q60813,Binding of male germ cells,6.1,-0.943
P50428,Binding of male germ cells,6.1,-0.943
Q9WV27,Binding of male germ cells,6.1,-0.943
Q6UQ17,Binding of male germ cells,6.1,-0.943
P80315,Binding of male germ cells,6.1,-0.943
P40240,Binding of male germ cells,6.1,-0.943
P52194,Binding of male germ cells,6.1,-0.943
Q9DAG6,Binding of male germ cells,6.1,-0.943
Q07133,Binding of male germ cells,6.1,-0.943
Q9CWP4,Binding of male germ cells,6.1,-0.943
P27046,Binding of male germ cells,6.1,-0.943
P21956,Binding of male germ cells,6.1,-0.943
P29121,Binding of male germ cells,6.1,-0.943
Q60963,Binding of male germ cells,6.1,-0.943
Q9DAA4,Binding of male germ cells,6.1,-0.943
Q9D5A9,Binding of male germ cells,6.1,-0.943
P15265,Binding of male germ cells,6.1,-0.943
Q9D0T1,Binding of male germ cells,6.1,-0.943
P23578,Abnormal morphology of sperm,6.01,
Q60662,Abnormal morphology of sperm,6.01,
Q8R5M8,Abnormal morphology of sperm,6.01,
P08414,Abnormal morphology of sperm,6.01,
P58019,Abnormal morphology of sperm,6.01,
Q04735,Abnormal morphology of sperm,6.01,
P41209,Abnormal morphology of sperm,6.01,
Q0VFX2,Abnormal morphology of sperm,6.01,
O54833,Abnormal morphology of sperm,6.01,
Q3TCH7,Abnormal morphology of sperm,6.01,
Q9WTX7,Abnormal morphology of sperm,6.01,
Q07133,Abnormal morphology of sperm,6.01,
Q91VH6,Abnormal morphology of sperm,6.01,
Q80WJ7,Abnormal morphology of sperm,6.01,
Q5QNQ6,Abnormal morphology of sperm,6.01,
P63087-2,Abnormal morphology of sperm,6.01,
Q9JHJ7,Abnormal morphology of sperm,6.01,
Q3V0F0,Abnormal morphology of sperm,6.01,
P28661,Abnormal morphology of sperm,6.01,
P15265,Abnormal morphology of sperm,6.01,
P11985,Abnormal morphology of sperm,6.01,
P09470,Spermatogenesis,6,1.106
Q9R0H0,Spermatogenesis,6,1.106
Q3V140,Spermatogenesis,6,1.106
O35083,Spermatogenesis,6,1.106
Q9D2H2,Spermatogenesis,6,1.106
Q8K4E0,Spermatogenesis,6,1.106
Q99PT1,Spermatogenesis,6,1.106
P50428,Spermatogenesis,6,1.106
Q9WV27,Spermatogenesis,6,1.106
Q8R5M8,Spermatogenesis,6,1.106
P08414,Spermatogenesis,6,1.106
Q91ZR5,Spermatogenesis,6,1.106
E9Q9F6,Spermatogenesis,6,1.106
Q3TVA9,Spermatogenesis,6,1.106
Q5SV66,Spermatogenesis,6,1.106
Q8CDV6,Spermatogenesis,6,1.106
Q04735,Spermatogenesis,6,1.106
P41209,Spermatogenesis,6,1.106
Q8C6S9-2,Spermatogenesis,6,1.106
Q9D5U8,Spermatogenesis,6,1.106
Q3TCH7,Spermatogenesis,6,1.106
P16381,Spermatogenesis,6,1.106
Q9JII5,Spermatogenesis,6,1.106
Q61496,Spermatogenesis,6,1.106
P63037,Spermatogenesis,6,1.106
Q9DAM2,Spermatogenesis,6,1.106
Q9WVK4,Spermatogenesis,6,1.106
Q80XI3,Spermatogenesis,6,1.106
P70372,Spermatogenesis,6,1.106
Q9Z0R9,Spermatogenesis,6,1.106
Q60928,Spermatogenesis,6,1.106
Q07133,Spermatogenesis,6,1.106
P43275,Spermatogenesis,6,1.106
Q4U2R1,Spermatogenesis,6,1.106
Q8BIL5,Spermatogenesis,6,1.106
P51660,Spermatogenesis,6,1.106
P17156,Spermatogenesis,6,1.106
Q61316,Spermatogenesis,6,1.106
P48722,Spermatogenesis,6,1.106
Q9D6H2,Spermatogenesis,6,1.106
Q99P31,Spermatogenesis,6,1.106
P42859,Spermatogenesis,6,1.106
Q3TY65,Spermatogenesis,6,1.106
Q61025,Spermatogenesis,6,1.106
Q8BPT6,Spermatogenesis,6,1.106
Q6PD10,Spermatogenesis,6,1.106
Q80W32,Spermatogenesis,6,1.106
Q9D5V2,Spermatogenesis,6,1.106
P11438,Spermatogenesis,6,1.106
P54310,Spermatogenesis,6,1.106
Q9D5S7,Spermatogenesis,6,1.106
Q61884,Spermatogenesis,6,1.106
Q8VCB1,Spermatogenesis,6,1.106
Q99MH5,Spermatogenesis,6,1.106
Q11011,Spermatogenesis,6,1.106
Q9D2F7,Spermatogenesis,6,1.106
Q5QNQ6,Spermatogenesis,6,1.106
Q9DAK2,Spermatogenesis,6,1.106
Q9DAN1,Spermatogenesis,6,1.106
Q9JMB7,Spermatogenesis,6,1.106
P63087-2,Spermatogenesis,6,1.106
O08807,Spermatogenesis,6,1.106
Q9JHJ7,Spermatogenesis,6,1.106
Q9DAA4,Spermatogenesis,6,1.106
Q8VIF2,Spermatogenesis,6,1.106
Q5SSW2,Spermatogenesis,6,1.106
P54728,Spermatogenesis,6,1.106
P34022,Spermatogenesis,6,1.106
Q3V0F0,Spermatogenesis,6,1.106
Q8VIG3,Spermatogenesis,6,1.106
D3YXK2,Spermatogenesis,6,1.106
Q6NZC7,Spermatogenesis,6,1.106
P28661,Spermatogenesis,6,1.106
Q8R0X7,Spermatogenesis,6,1.106
Q3TTP0,Spermatogenesis,6,1.106
Q9JJY3,Spermatogenesis,6,1.106
P08228,Spermatogenesis,6,1.106
Q8K450,Spermatogenesis,6,1.106
Q3U6K5,Spermatogenesis,6,1.106
Q9D9W0,Spermatogenesis,6,1.106
Q8C9J3-4,Spermatogenesis,6,1.106
Q9WTK7,Spermatogenesis,6,1.106
Q00262,Spermatogenesis,6,1.106
Q9DA32,Spermatogenesis,6,1.106
Q8R1G1,Spermatogenesis,6,1.106
Q9D9I4,Spermatogenesis,6,1.106
P11985,Spermatogenesis,6,1.106
P61407,Spermatogenesis,6,1.106
Q9JMB1,Spermatogenesis,6,1.106
Q61241,Spermatogenesis,6,1.106
Q9D411,Spermatogenesis,6,1.106
P31254,Spermatogenesis,6,1.106
Q9Z2C8,Spermatogenesis,6,1.106
P09470,Gametogenesis,5.92,1.536
Q9R0H0,Gametogenesis,5.92,1.536
Q3V140,Gametogenesis,5.92,1.536
O35083,Gametogenesis,5.92,1.536
Q9D2H2,Gametogenesis,5.92,1.536
Q8K4E0,Gametogenesis,5.92,1.536
Q99PT1,Gametogenesis,5.92,1.536
P50428,Gametogenesis,5.92,1.536
Q9WV27,Gametogenesis,5.92,1.536
Q8R5M8,Gametogenesis,5.92,1.536
P08414,Gametogenesis,5.92,1.536
Q91ZR5,Gametogenesis,5.92,1.536
E9Q9F6,Gametogenesis,5.92,1.536
Q3TVA9,Gametogenesis,5.92,1.536
Q5SV66,Gametogenesis,5.92,1.536
Q8CDV6,Gametogenesis,5.92,1.536
Q04735,Gametogenesis,5.92,1.536
P41209,Gametogenesis,5.92,1.536
Q8C6S9-2,Gametogenesis,5.92,1.536
Q9D5U8,Gametogenesis,5.92,1.536
Q5SU73,Gametogenesis,5.92,1.536
O54833,Gametogenesis,5.92,1.536
Q02248,Gametogenesis,5.92,1.536
Q3TCH7,Gametogenesis,5.92,1.536
P16381,Gametogenesis,5.92,1.536
Q9JII5,Gametogenesis,5.92,1.536
Q61496,Gametogenesis,5.92,1.536
P63037,Gametogenesis,5.92,1.536
Q9DAM2,Gametogenesis,5.92,1.536
Q9WVK4,Gametogenesis,5.92,1.536
Q80XI3,Gametogenesis,5.92,1.536
P70372,Gametogenesis,5.92,1.536
Q9D9V2,Gametogenesis,5.92,1.536
Q9Z0R9,Gametogenesis,5.92,1.536
Q9WTX7,Gametogenesis,5.92,1.536
Q60928,Gametogenesis,5.92,1.536
Q07133,Gametogenesis,5.92,1.536
P43275,Gametogenesis,5.92,1.536
Q4U2R1,Gametogenesis,5.92,1.536
P20060,Gametogenesis,5.92,1.536
Q8BIL5,Gametogenesis,5.92,1.536
P51660,Gametogenesis,5.92,1.536
P17156,Gametogenesis,5.92,1.536
Q61316,Gametogenesis,5.92,1.536
P48722,Gametogenesis,5.92,1.536
Q9D6H2,Gametogenesis,5.92,1.536
Q99P31,Gametogenesis,5.92,1.536
P42859,Gametogenesis,5.92,1.536
Q3TY65,Gametogenesis,5.92,1.536
Q61025,Gametogenesis,5.92,1.536
Q8BPT6,Gametogenesis,5.92,1.536
Q6PD10,Gametogenesis,5.92,1.536
Q80W32,Gametogenesis,5.92,1.536
Q9D5V2,Gametogenesis,5.92,1.536
P11438,Gametogenesis,5.92,1.536
P54310,Gametogenesis,5.92,1.536
Q9D5S7,Gametogenesis,5.92,1.536
P12025,Gametogenesis,5.92,1.536
Q9JLI3,Gametogenesis,5.92,1.536
Q61884,Gametogenesis,5.92,1.536
Q8VCB1,Gametogenesis,5.92,1.536
Q99MH5,Gametogenesis,5.92,1.536
Q11011,Gametogenesis,5.92,1.536
Q9D2F7,Gametogenesis,5.92,1.536
Q5QNQ6,Gametogenesis,5.92,1.536
Q9DAK2,Gametogenesis,5.92,1.536
P29121,Gametogenesis,5.92,1.536
Q9DAN1,Gametogenesis,5.92,1.536
Q9Z2A0,Gametogenesis,5.92,1.536
Q9JMB7,Gametogenesis,5.92,1.536
P63087-2,Gametogenesis,5.92,1.536
O08807,Gametogenesis,5.92,1.536
Q9JHJ7,Gametogenesis,5.92,1.536
Q9DAA4,Gametogenesis,5.92,1.536
Q8VIF2,Gametogenesis,5.92,1.536
Q5SSW2,Gametogenesis,5.92,1.536
P54728,Gametogenesis,5.92,1.536
P34022,Gametogenesis,5.92,1.536
Q3V0F0,Gametogenesis,5.92,1.536
P62754,Gametogenesis,5.92,1.536
Q8VIG3,Gametogenesis,5.92,1.536
D3YXK2,Gametogenesis,5.92,1.536
Q6NZC7,Gametogenesis,5.92,1.536
P28661,Gametogenesis,5.92,1.536
Q8R0X7,Gametogenesis,5.92,1.536
Q3TTP0,Gametogenesis,5.92,1.536
Q9JJY3,Gametogenesis,5.92,1.536
P08228,Gametogenesis,5.92,1.536
Q8K450,Gametogenesis,5.92,1.536
Q3U6K5,Gametogenesis,5.92,1.536
Q9D9W0,Gametogenesis,5.92,1.536
Q8C9J3-4,Gametogenesis,5.92,1.536
Q9WTK7,Gametogenesis,5.92,1.536
Q00262,Gametogenesis,5.92,1.536
Q9DA32,Gametogenesis,5.92,1.536
Q8R1G1,Gametogenesis,5.92,1.536
Q9D9I4,Gametogenesis,5.92,1.536
P11985,Gametogenesis,5.92,1.536
P61407,Gametogenesis,5.92,1.536
Q9JMB1,Gametogenesis,5.92,1.536
Q61241,Gametogenesis,5.92,1.536
Q9D411,Gametogenesis,5.92,1.536
P31254,Gametogenesis,5.92,1.536
Q9Z2C8,Gametogenesis,5.92,1.536
P09470,Binding of sperm,5.58,-0.647
P23578,Binding of sperm,5.58,-0.647
Q60813,Binding of sperm,5.58,-0.647
P50428,Binding of sperm,5.58,-0.647
Q9WV27,Binding of sperm,5.58,-0.647
Q6UQ17,Binding of sperm,5.58,-0.647
P80315,Binding of sperm,5.58,-0.647
P40240,Binding of sperm,5.58,-0.647
P52194,Binding of sperm,5.58,-0.647
Q9DAG6,Binding of sperm,5.58,-0.647
Q07133,Binding of sperm,5.58,-0.647
Q9CWP4,Binding of sperm,5.58,-0.647
P21956,Binding of sperm,5.58,-0.647
P29121,Binding of sperm,5.58,-0.647
Q60963,Binding of sperm,5.58,-0.647
Q9DAA4,Binding of sperm,5.58,-0.647
Q9D5A9,Binding of sperm,5.58,-0.647
P15265,Binding of sperm,5.58,-0.647
Q9D0T1,Binding of sperm,5.58,-0.647
Q9R0H0,Abnormal morphology of male germ cells,5.43,
P23578,Abnormal morphology of male germ cells,5.43,
Q60662,Abnormal morphology of male germ cells,5.43,
Q8R5M8,Abnormal morphology of male germ cells,5.43,
P08414,Abnormal morphology of male germ cells,5.43,
P58019,Abnormal morphology of male germ cells,5.43,
Q04735,Abnormal morphology of male germ cells,5.43,
P41209,Abnormal morphology of male germ cells,5.43,
Q0VFX2,Abnormal morphology of male germ cells,5.43,
O54833,Abnormal morphology of male germ cells,5.43,
Q3TCH7,Abnormal morphology of male germ cells,5.43,
P63037,Abnormal morphology of male germ cells,5.43,
Q9WVK4,Abnormal morphology of male germ cells,5.43,
Q9Z0R9,Abnormal morphology of male germ cells,5.43,
Q9WTX7,Abnormal morphology of male germ cells,5.43,
Q07133,Abnormal morphology of male germ cells,5.43,
Q9Z0R0,Abnormal morphology of male germ cells,5.43,
P51660,Abnormal morphology of male germ cells,5.43,
Q61316,Abnormal morphology of male germ cells,5.43,
Q99P31,Abnormal morphology of male germ cells,5.43,
P42859,Abnormal morphology of male germ cells,5.43,
Q6PD10,Abnormal morphology of male germ cells,5.43,
Q91VH6,Abnormal morphology of male germ cells,5.43,
Q61884,Abnormal morphology of male germ cells,5.43,
Q80WJ7,Abnormal morphology of male germ cells,5.43,
Q99MH5,Abnormal morphology of male germ cells,5.43,
Q5QNQ6,Abnormal morphology of male germ cells,5.43,
O35386,Abnormal morphology of male germ cells,5.43,
Q9JMB7,Abnormal morphology of male germ cells,5.43,
